                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9372,                 3.1508,                 1.2001,                0.20661,                0.16794,                0.07887,                0.03589,                 2.0146,                 2.4066,                 1.2817,             0.00066133,             0.00066133,             0.00066133
                      2,                 2.1159,                 2.2888,                 1.2736,                0.21153,                0.17092,                0.08834,                0.03978,                 2.1439,                 2.3607,                  1.324,              0.0012404,              0.0012404,              0.0012404
                      3,                 2.1766,                 2.2936,                  1.324,                0.21253,                0.13183,                0.07424,                0.02918,                 2.2739,                 2.5048,                  1.338,              0.0017314,              0.0017314,              0.0017314
                      4,                    2.2,                  2.286,                  1.301,                0.20264,                0.16661,                0.08064,                0.03385,                 2.1803,                 2.4715,                 1.3355,               0.001604,               0.001604,               0.001604
                      5,                 2.1154,                 2.2342,                 1.2853,                0.20866,                0.16429,                0.09298,                0.04376,                 2.1059,                 2.4423,                 1.3371,               0.001604,               0.001604,               0.001604
                      6,                 2.1214,                 2.2829,                 1.3058,                0.23225,                 0.1729,                0.09786,                0.04518,                 2.0742,                 2.2993,                 1.3131,               0.001472,               0.001472,               0.001472
                      7,                 2.0685,                 2.1709,                  1.292,                 0.2067,                0.19841,                0.10284,                0.04532,                 2.1077,                 2.2235,                 1.3153,                0.00134,                0.00134,                0.00134
                      8,                 2.0099,                 2.1122,                 1.2587,                 0.2616,                0.19562,                0.12324,                0.05741,                 2.0573,                  2.105,                 1.2775,               0.001208,               0.001208,               0.001208
                      9,                 1.9875,                 2.1006,                 1.2374,                0.27153,                0.19874,                0.12609,                0.05974,                 1.9749,                 2.0857,                 1.2428,               0.001076,               0.001076,               0.001076
                     10,                 1.9233,                 2.0111,                 1.2133,                0.26153,                0.19808,                 0.1298,                0.06186,                 1.9546,                 2.0261,                 1.2432,               0.000944,               0.000944,               0.000944
                     11,                 1.8933,                 1.9523,                 1.1951,                  0.281,                0.20371,                 0.1401,                 0.0675,                 1.9253,                 1.9757,                 1.2304,               0.000812,               0.000812,               0.000812
                     12,                 1.8398,                 1.9111,                 1.1724,                0.27116,                0.20702,                0.13726,                0.06899,                 1.8914,                 1.9848,                  1.212,                0.00068,                0.00068,                0.00068
                     13,                 1.8207,                 1.8651,                 1.1604,                0.31538,                0.22064,                0.15534,                0.07447,                 1.8573,                 1.8837,                 1.2008,               0.000548,               0.000548,               0.000548
                     14,                 1.7744,                 1.8206,                 1.1571,                 0.3162,                0.22259,                0.16154,                0.08251,                 1.8232,                 1.8583,                 1.1949,               0.000416,               0.000416,               0.000416
                     15,                 1.7371,                 1.7756,                 1.1331,                0.32372,                 0.2312,                0.16859,                0.08678,                 1.8076,                 1.8259,                 1.1822,               0.000284,               0.000284,               0.000284
