                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9372,                 3.1508,                 1.2001,                0.20661,                0.16794,                0.07887,                0.03589,                 2.0146,                 2.4066,                 1.2817,             0.00066133,             0.00066133,             0.00066133
                      2,                 2.1423,                 2.3244,                 1.2919,                0.21062,                0.15303,                0.08246,                0.03701,                 2.2466,                 2.3494,                 1.3849,              0.0013017,              0.0013017,              0.0013017
                      3,                 2.2164,                 2.3099,                 1.3334,                0.18938,                0.14773,                0.07576,                0.03214,                 2.2448,                 2.3976,                 1.4424,              0.0019157,              0.0019157,              0.0019157
                      4,                 2.2314,                 2.3181,                 1.3271,                0.19898,                0.15303,                0.08172,                0.03546,                 2.2712,                 2.5116,                 1.3623,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.1637,                 2.2588,                 1.3136,                 0.2024,                0.15767,                0.08712,                0.03984,                  2.114,                 2.5448,                 1.3383,              0.0018812,              0.0018812,              0.0018812
                      6,                 2.0829,                 2.2052,                 1.2752,                0.19757,                0.16562,                0.08522,                0.03839,                 2.1313,                 2.2756,                 1.3425,              0.0018416,              0.0018416,              0.0018416
                      7,                 2.0578,                 2.1399,                 1.2646,                0.25247,                0.19179,                 0.1123,                0.05191,                 2.0555,                 2.1214,                 1.3003,               0.001802,               0.001802,               0.001802
                      8,                 2.0427,                 2.1275,                  1.256,                 0.2671,                0.19675,                0.12353,                0.05608,                  2.026,                 2.0818,                 1.2601,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.9981,                 2.0729,                  1.229,                0.25085,                0.19609,                0.11843,                0.05597,                 2.0857,                 2.1008,                 1.2832,              0.0017228,              0.0017228,              0.0017228
                     10,                  1.973,                 2.0455,                 1.2123,                0.24107,                0.20317,                 0.1197,                0.05481,                 2.0404,                 2.1015,                 1.2794,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.9727,                 2.0623,                  1.222,                0.25393,                0.19538,                0.11734,                0.05511,                 1.9898,                 2.0944,                 1.2562,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.9403,                 2.0033,                 1.2126,                0.26227,                0.20997,                0.13753,                0.06609,                 1.9323,                 2.0033,                 1.2496,               0.001604,               0.001604,               0.001604
                     13,                 1.9381,                 2.0046,                 1.2122,                0.26186,                 0.2057,                0.12948,                0.06386,                 1.9648,                 2.0226,                 1.2377,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.8921,                  1.935,                 1.1845,                0.29032,                0.20669,                  0.142,                0.06969,                 1.9124,                 2.0049,                 1.2259,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.8816,                 1.9382,                 1.1887,                0.27509,                0.21166,                0.14251,                0.07027,                 1.9244,                 1.9991,                 1.2225,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.8604,                 1.8791,                 1.1749,                0.29132,                0.21166,                0.14537,                0.06998,                 1.9167,                 1.9559,                 1.2276,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.8522,                 1.9002,                 1.1725,                0.28107,                0.22093,                0.15079,                0.07357,                 1.8753,                 1.9724,                 1.2161,               0.001406,               0.001406,               0.001406
                     18,                 1.8253,                 1.8605,                 1.1661,                0.29212,                0.21232,                0.15359,                0.07456,                 1.8754,                  1.927,                 1.1924,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.7915,                 1.8274,                 1.1535,                0.29522,                0.22027,                0.15529,                0.07589,                 1.8764,                 1.9137,                  1.204,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.7949,                 1.8197,                 1.1427,                0.28284,                 0.2206,                0.15626,                0.07737,                 1.8762,                  1.923,                 1.2085,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.7546,                   1.79,                  1.147,                0.30176,                0.22425,                0.15416,                0.07661,                 1.8907,                  1.915,                 1.2116,              0.0012476,              0.0012476,              0.0012476
                     22,                  1.791,                 1.7694,                 1.1408,                 0.2965,                 0.2259,                0.15212,                0.07619,                 1.9051,                 1.9247,                 1.2176,               0.001208,               0.001208,               0.001208
                     23,                 1.7748,                 1.7495,                 1.1379,                0.32104,                0.22193,                0.16483,                0.08306,                 1.8488,                 1.8989,                  1.202,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.7376,                 1.7223,                 1.1342,                0.32001,                0.22358,                0.16632,                0.08522,                 1.8395,                 1.8568,                 1.1844,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.7334,                 1.7288,                 1.1236,                0.31915,                0.23319,                0.16863,                0.08663,                 1.8176,                 1.8548,                 1.1843,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.7203,                 1.6993,                 1.1189,                 0.3111,                0.23617,                0.17029,                0.08738,                 1.8324,                 1.8593,                 1.1842,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.7122,                 1.6941,                 1.1207,                0.32212,                0.23385,                0.16478,                0.08351,                 1.8349,                 1.8525,                 1.1992,                0.00101,                0.00101,                0.00101
                     28,                 1.6932,                 1.6663,                 1.1088,                0.31012,                0.23451,                0.16672,                0.08466,                 1.8334,                 1.8645,                 1.1826,              0.0009704,              0.0009704,              0.0009704
                     29,                 1.7134,                 1.6809,                 1.1114,                0.30198,                0.23418,                0.16576,                0.08483,                  1.805,                 1.8494,                 1.1719,              0.0009308,              0.0009308,              0.0009308
                     30,                 1.6603,                 1.6348,                 1.1001,                0.33564,                0.23485,                0.17689,                0.08918,                 1.7863,                 1.8181,                 1.1805,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.6734,                 1.6175,                  1.099,                 0.3216,                0.23319,                0.18073,                0.09272,                 1.7775,                 1.7912,                 1.1805,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.6623,                 1.6023,                 1.0858,                0.31961,                0.24313,                0.17468,                0.08595,                 1.8129,                 1.8072,                  1.183,               0.000812,               0.000812,               0.000812
                     33,                 1.6258,                 1.5479,                  1.086,                 0.3152,                0.24379,                0.17783,                0.09375,                 1.7813,                 1.8092,                 1.1683,              0.0007724,              0.0007724,              0.0007724
                     34,                 1.6392,                 1.5658,                 1.0833,                0.32127,                0.24379,                0.18082,                0.09242,                 1.8019,                 1.8043,                 1.1725,              0.0007328,              0.0007328,              0.0007328
                     35,                 1.6451,                 1.5782,                  1.085,                 0.3225,                0.23478,                0.17779,                0.09254,                 1.7919,                 1.8295,                 1.1689,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.5949,                 1.5035,                 1.0692,                0.32749,                0.25008,                0.18585,                0.09651,                 1.7825,                  1.786,                 1.1702,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.6041,                 1.5069,                 1.0671,                0.32753,                 0.2428,                0.18519,                0.09523,                 1.7929,                 1.8227,                  1.178,               0.000614,               0.000614,               0.000614
                     38,                 1.5654,                  1.476,                 1.0637,                0.32886,                0.24843,                0.18152,                0.09391,                 1.7677,                 1.8052,                 1.1671,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.5627,                 1.4834,                 1.0657,                0.34212,                0.24909,                0.18438,                0.09396,                 1.7687,                 1.7845,                 1.1697,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.5644,                 1.4567,                 1.0647,                0.32104,                0.24025,                0.17962,                0.09155,                 1.7808,                  1.833,                 1.1675,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.5714,                 1.4893,                 1.0615,                0.32706,                0.24478,                0.18447,                0.09485,                 1.7774,                 1.7902,                 1.1807,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.5328,                 1.4273,                 1.0587,                0.31756,                0.24677,                 0.1831,                0.09511,                 1.7823,                 1.8041,                 1.1708,               0.000416,               0.000416,               0.000416
                     43,                 1.5082,                 1.4037,                 1.0464,                0.35015,                0.23518,                0.18651,                 0.0974,                 1.7639,                 1.7971,                 1.1678,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.5067,                 1.4114,                  1.038,                0.34491,                0.24478,                0.18579,                0.09807,                 1.7445,                 1.7682,                 1.1657,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.5123,                 1.3856,                 1.0332,                0.34578,                0.24578,                0.18889,                 0.0976,                 1.7584,                 1.7868,                 1.1591,              0.0002972,              0.0002972,              0.0002972
                     46,                  1.492,                 1.3535,                 1.0313,                0.32747,                0.24578,                0.18637,                0.09558,                 1.7599,                 1.7976,                 1.1705,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.4705,                 1.3293,                  1.025,                0.32771,                0.24578,                0.19083,                0.09857,                 1.7648,                 1.7914,                 1.1642,               0.000218,               0.000218,               0.000218
                     48,                 1.4429,                   1.31,                 1.0187,                0.33831,                0.24167,                 0.1866,                0.09763,                 1.7504,                 1.7869,                 1.1586,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.4536,                 1.3009,                 1.0169,                0.34129,                0.24644,                0.18901,                0.09856,                 1.7593,                 1.8002,                 1.1672,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.4659,                 1.2906,                 1.0277,                0.34258,                0.24545,                0.18687,                0.09705,                 1.7549,                 1.7891,                 1.1673,               9.92e-05,               9.92e-05,               9.92e-05
